UID          PID    PPID  C STIME TTY          TIME CMD
olatunde    1069     975  0 20:26 ?        00:00:00 /usr/libexec/goa-identity-service
olatunde    1079     975  0 20:26 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
olatunde    1086     975  0 20:26 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
olatunde    1090     975  0 20:26 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1100       1  0 20:26 ?        00:00:00 /usr/lib/upower/upowerd
olatunde    1114     990  0 20:26 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
olatunde    1211       1  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --clipboard
olatunde    1212    1211  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --clipboard
olatunde    1223       1  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --seamless
olatunde    1225    1223  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --seamless
olatunde    1231       1  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
olatunde    1232    1231  0 20:26 ?        00:00:03 /usr/bin/VBoxClient --draganddrop
olatunde    1238       1  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
olatunde    1239    1238  0 20:26 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
olatunde    1245    1114  0 20:26 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
olatunde    1268     975  0 20:26 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
olatunde    1273    1268  0 20:26 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
olatunde    1297     975  0 20:26 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
olatunde    1304     975  0 20:26 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
olatunde    1318     975  0 20:26 ?        00:00:21 /usr/bin/gnome-shell
olatunde    1359    1318  0 20:26 ?        00:00:00 ibus-daemon --panel disable --xim
olatunde    1363    1359  0 20:26 ?        00:00:00 /usr/libexec/ibus-memconf
olatunde    1364    1359  0 20:26 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
olatunde    1366     975  0 20:26 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
olatunde    1370     975  0 20:26 ?        00:00:00 /usr/libexec/ibus-portal
olatunde    1380     975  0 20:26 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
olatunde    1384     975  0 20:26 ?        00:00:00 /usr/libexec/xdg-permission-store
olatunde    1388     975  0 20:26 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
olatunde    1395     975  0 20:26 ?        00:00:00 /usr/libexec/evolution-source-registry
olatunde    1404     975  0 20:26 ?        00:00:00 /usr/libexec/evolution-calendar-factory
olatunde    1417     975  0 20:26 ?        00:00:00 /usr/libexec/dconf-service
olatunde    1423     975  0 20:26 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
olatunde    1427     975  0 20:26 ?        00:00:00 /usr/libexec/gvfsd-metadata
